,Cluster,Organization,Conditionality,Restriction,Delivery mechanism,"Status (Completed, Ongoing, planned)",April Individuals,Region,District
0,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,420,Awdal,Borama
1,Food security,DRC,Cash for Work,Unrestricted,Unspecified,ongoing,2100,Awdal,Lughaye
2,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,11900,Bakool,Ceelbarde
3,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,5220,Bakool,Xudur
4,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,17500,Bakool,Xudur
5,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,2784,Bakool,Xudur
6,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,390,Bakool,Xudur
7,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,7000,Bakool,Rab Dhuure
8,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,12,Bakool,Tayeeglow
9,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,7000,Bakool,Waajid
10,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,6,Bakool,Waajid
11,Food security,WVI,Cash for Work,Restricted,Voucher,ongoing,50,Bakool,Waajid
12,Food security,WVI,Unconditional,Unrestricted,Voucher,ongoing,800,Bakool,Waajid
13,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,1540,Banadir,Cabdulcasiis
14,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,365,Banadir,Cabdulcasiis
15,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Daynille
16,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,10262,Banadir,Dharkenley
17,Food security,IOM,Unconditional,Unrestricted,Mobile money transfer,ongoing,2940,Banadir,Dharkenley
18,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,365,Banadir,Dharkenley
19,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Hawl Wadaag
20,Protection,Qatar Charity,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Hawl Wadaag
21,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,7000,Banadir,Hodan
22,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Hodan
23,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Kaaraan
24,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Shibis
25,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Shingani
26,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Waaberi
27,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Wadajir
28,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Wardhiigleey
29,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Xamar Jabjab
30,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Xamar Weyne
31,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Yaaqshiid
32,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,810,Bari,Bossaso
33,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,5400,Bari,Bossaso
34,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,300,Bari,Bossaso
35,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,600,Bari,Qardho
36,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,3600,Bari,Qardho
37,Food security,IRC,Unconditional,Unrestricted,e-payment,ongoing,1800,Bari,Qardho
38,Food security,NCA,Unconditional,Unspecified,Unspecified,ongoing,1200,Bari,Qardho
39,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
40,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
41,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
42,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,390,Bay,Baidoa
43,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,6000,Bay,Baidoa
44,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,12000,Bay,Baidoa
45,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,27600,Bay,Baidoa
46,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,14586,Bay,Baidoa
47,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,237,Bay,Baidoa
48,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,1200,Hiraan,Bulo Burto
49,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,10500,Hiraan,Bulo Burto
50,Food security,ADESO,Unconditional,Unrestricted,Mobile money transfer,ongoing,21000,Lower Juba,Afmadow
51,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,3300,Lower Juba,Afmadow
52,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,330,Lower Juba,Afmadow
53,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,60,Lower Juba,Afmadow
54,Food security,SI,Unconditional,Unrestricted,Mobile money transfer,ongoing,6330,Lower Juba,Afmadow
55,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
56,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
57,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
58,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,4572,Bay,Buur Hakaba
59,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,6000,Bay,Buur Hakaba
60,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,54,Bay,Buur Hakaba
61,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing, ,Bay,Buur Hakaba
62,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
63,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,36,Bay,Diinsoor
64,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,167,Galgaduud,Cabudwaaq
65,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,124,Galgaduud,Cadaado
66,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
67,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
68,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,0,Gedo,Baardheere
69,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,5532,Gedo,Baardheere
70,Food security,VSF-Suisse,Cash for Training,Unspecified,Unspecified,ongoing,0,Gedo,Belet Xaawo
71,Food security,VSF-Suisse,Cash for Training,Unspecified,Unspecified,ongoing,100,Gedo,Belet Xaawo
72,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,2160,Gedo,Doloow
73,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
74,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,0,Gedo,Ceel Waaq
75,Food security,NAPAD,Unconditional,Unspecified,Unspecified,ongoing,1800,Gedo,Ceel Waaq
76,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,14400,Gedo,Luuq
77,Food security,VSF-Suisse,Cash for Training,Unspecified,Unspecified,ongoing,0,Gedo,Luuq
78,Food security,VSF-Suisse,Cash for Training,Unspecified,Unspecified,ongoing,100,Gedo,Luuq
79,Food security,WVI,Cash for Work,Restricted,Voucher,ongoing,300,Gedo,Luuq
80,Food security,WVI,Cash for Training,Unrestricted,Voucher,ongoing,247,Gedo,Luuq
81,Food security,CESVI,Unconditional,Unrestricted,Mobile money transfer,ongoing,6720,Hiraan,Belet Weyne
82,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,1800,Hiraan,Belet Weyne
83,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,287,Hiraan,Belet Weyne
84,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
85,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
86,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,2796,Hiraan,Bulo Burto
87,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,264,Hiraan,Bulo Burto
88,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,16644,Lower Juba,Badhaadhe
89,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,2274,Lower Juba,Jamaame
90,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
91,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,12000,Lower Juba,Kismayo
92,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,2088,Lower Juba,Kismayo
93,Food security,SIF,Unconditional,Unrestricted,e-payment,ongoing,2202,Lower Juba,Kismayo
94,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
95,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,4068,Lower Shabelle,Afgoye
96,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,900,Lower Shabelle,Afgoye
97,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,408,Lower Shabelle,Afgoye
98,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,225,Lower Shabelle,Afgoye
99,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,6,Lower Shabelle,Barawe
100,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
101,Food security,SWISSO KALMO,Unconditional,Unrestricted,Voucher,ongoing,6000,Lower Shabelle,Qoryoley
102,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,174,Middle Juba,Bu'aale
103,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,1440,Middle Juba,Jilib
104,Food security,WOCCA,Unconditional,Unrestricted,Voucher,ongoing,6498,Middle Shabelle,Balcad
105,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,900,Middle Shabelle,Jowhar
106,Multisector/ multipurpose,UNDP,Unconditional,Unrestricted,Unspecified,completed,,Togdheer,Burco
107,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,250,Middle Shabelle,Jowhar
108,Food security,WOCCA,Cash for Work,Unrestricted,Voucher,ongoing,4422,Middle Shabelle,Jowhar
109,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,12,Mudug,Galdogob
110,Food security,CESVI,Unconditional,Unrestricted,Mobile money transfer,ongoing,13800,Mudug,Gaalkacyo
111,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,2700,Mudug,Gaalkacyo
112,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,7830,Mudug,Gaalkacyo
113,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Mudug,Gaalkacyo
114,Food security,IRC,Unconditional,Unrestricted,Mobile money transfer,ongoing,16440,Mudug,Gaalkacyo
115,Food security,ADRA,Unconditional,Unrestricted,Mobile money transfer,ongoing,4002,Sool,Laascanood
116,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Mudug,Gaalkacyo
117,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Sool,Laascanood
118,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,130,Sool,Laascanood
119,Protection,UNDP,Unspecified,Unspecified,Unspecified,ongoing,1200,Togdheer,Burco
120,Protection,UNDP,Unspecified,Unspecified,Unspecified,ongoing,1200,Gedo,Doloow
121,Protection,UNDP,Unspecified,Unspecified,Unspecified,ongoing,1200,Mudug,Gaalkacyo
122,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Sool,Laascanood
123,Multisector/ multipurpose,UNDP,Unspecified,Unspecified,Unspecified,ongoing,600,Mudug,Gaalkacyo
124,Multisector/ multipurpose,UNDP,Unspecified,Unspecified,Unspecified,ongoing,600,Togdheer,Burco
125,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,163,Mudug,Gaalkacyo
126,Multisector/ multipurpose,UNDP,Unspecified,Unspecified,Unspecified,ongoing,600,Gedo,Doloow
127,Food security,ADESO,Unconditional,Unrestricted,Mobile money transfer,ongoing,13993,Mudug,Hobyo
128,Food security,CESVI,Unconditional,Unrestricted,Mobile money transfer,ongoing,3600,Mudug,Hobyo
129,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Mudug,Gaalkacyo
130,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Mudug,Gaalkacyo
131,Food security,IRC,Unconditional,Unrestricted,e-payment,ongoing,9960,Mudug,Hobyo
132,Food security,ADESO,Unconditional,Unrestricted,Mobile money transfer,ongoing,14112,Mudug,Jariban
133,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1500,Mudug,Gaalkacyo
134,Food security,WVI,Unconditional,Unrestricted,Voucher,ongoing,2400,Mudug,Jariban
135,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,3180,Nugaal,Eyl
136,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,2520,Nugaal,Eyl
137,Food security,WVI,Unconditional,Unrestricted,Voucher,ongoing,2844,Nugaal,Eyl
138,Food security,WVI,Unconditional,Unrestricted,Voucher,ongoing,1200,Nugaal,Eyl
139,Food security,WVI,Unconditional,Unrestricted,Voucher,ongoing,5400,Nugaal,Eyl
140,Food security,NCA,Unconditional,Unspecified,Unspecified,ongoing,900,Nugaal,Garowe
141,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1500,Mudug,Galdogob
142,Food security,ADESO,Unconditional,Unrestricted,Mobile money transfer,ongoing,8827,Sanaag,Laasqoray
143,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1500,Mudug,Galdogob
144,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1500,Mudug,Galdogob
145,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,1728,Sanaag,Laasqoray
146,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,186,Sanaag,Laasqoray
147,Food security,IRC,Unconditional,Unrestricted,e-payment,ongoing,0,Sanaag,Laasqoray
148,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1500,Mudug,Galdogob
149,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,1620,Sanaag,Ceel Afweyn
150,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1500,Mudug,Galdogob
151,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1320,Nugaal,Garowe
152,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,900,Nugaal,Garowe
153,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,1800,Sanaag,Ceerigaabo
154,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,180,Sanaag,Ceerigaabo
155,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,80,Sanaag,Ceerigaabo
156,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,900,Nugaal,Garowe
157,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,720,Togdheer,Buuhoodle
158,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,720,Togdheer,Buuhoodle
159,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,900,Togdheer,Buuhoodle
160,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,900,Sool,Laascanood
161,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Bari,Qardho
162,Food security,IRC,Unconditional,Unrestricted,Unspecified,ongoing,0,Sool,Xudun
163,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,1200,Togdheer,Buuhoodle
164,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,420,Togdheer,Burco
165,Food security,WVI,Cash for Work,Restricted,Voucher,ongoing,560,Togdheer,Burco
166,Food security,WVI,Cash for Work,Restricted,Voucher,ongoing,340,Togdheer,Owdweyne
167,Food security,WVI,Cash for Work,Restricted,Voucher,ongoing,224,Togdheer,Owdweyne
168,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,1693,Woqooyi Galbeed,Hargeysa
169,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,ongoing,1500,Bay,Baidoa
170,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,ongoing,1020,Bay,Baidoa
171,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,ongoing,5220,Bay,Baidoa
172,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,ongoing,2640,Bay,Baidoa
173,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,ongoing,1020,Bay,Baidoa
174,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,ongoing,600,Bay,Baidoa
175,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,ongoing,600,Bay,Baidoa
176,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
177,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
178,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
179,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
180,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
181,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
182,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
183,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
184,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
185,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
186,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
187,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
188,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
189,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
190,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
191,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
192,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
193,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
194,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
195,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
196,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
197,Food security,CRS,Unconditional,Unrestricted,Mobile money transfer,planned,,Gedo,Belet Xaawo
198,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Bari,Qardho
199,Multisector/ multipurpose,UNDP,Unconditional,Unrestricted,Cash in hand,ongoing,1836,Sool,Caynabo
200,Multisector/ multipurpose,UNDP,Unconditional,Unrestricted,Unspecified,ongoing,1200,Woqooyi Galbeed,Hargeysa
201,WASH  ,UNDP,Unconditional,Unrestricted,Cash in hand,ongoing,2730,Bay,Baidoa
202,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,900,Bari,Qardho
203,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,600,Bari,Qardho
204,Multisector/ multipurpose,CRS,Cash for work,Unrestricted,Mobile money transfer,planned,,Bay,Baidoa
205,Multisector/ multipurpose,CRS,Cash for work,Unrestricted,Mobile money transfer,planned,,Lower Shabelle,Afgoye
206,Education,DKH,Conditional ,Restricted,Voucher,Unspecified,1646,Banadir,Mogadishu/Dharkenley
207,Education,DKH,Conditional ,Restricted,Voucher,Unspecified,1646,Banadir,Mogadishu/Dharkenley
208,Food security,IRC,Cash for Work,Unrestricted,e-payment,completed,,Galgaduud,Dhuusamarreeb
209,Food security,RI,Cash for Training,Unrestricted,Cash in hand,completed,,Hiraan,Belet Weyne
210,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,642,Woqooyi Galbeed,Berbera
211,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,486,Woqooyi Galbeed,Berbera
212,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,180,Woqooyi Galbeed,Berbera
213,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,642,Woqooyi Galbeed,Berbera
214,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,432,Woqooyi Galbeed,Berbera
215,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,450,Woqooyi Galbeed,Berbera
216,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1050,Lower Juba,Afmadow
217,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1140,Lower Juba,Afmadow
218,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,900,Lower Juba,Afmadow
219,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,510,Lower Juba,Afmadow
220,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,540,Bari,Bossaso
221,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,540,Bari,Bossaso
222,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,540,Bari,Bossaso
223,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,804,Bari,Iskushuban
224,Food security,IRC,Cash for Training,Unrestricted,Cash in hand,completed,,Mudug,Gaalkacyo
225,Food security,IRC,Cash for Training,Unrestricted,e-payment,ongoing,50,Mudug,Hobyo
226,Food security,IRC,Cash for Training,Unrestricted,Cash in hand,completed,,Mudug,Hobyo
227,Food security,IRC,Cash for Training,Unrestricted,Cash in hand,completed,,Mudug,Jariban
228,Food Security,Southern Aid,Cash for Work,Unrestricted,Mobile money transfer,ongoing,2220,Lower Juba,Badhaadhe
229,Food security,COOPI,Cash for Work,Unrestricted,Voucher,ongoing,2880,Bay,Baidoa
230,Food security,COOPI,Cash for Work,Unrestricted,Voucher,ongoing,1158,Gedo,Belet Xaawo
231,Food security,COOPI,Cash for Work,Unrestricted,Voucher,ongoing,300,Gedo,Doloow
232,Food security,COOPI,Cash for Work,Unrestricted,Voucher,ongoing,288,Gedo,Doloow
233,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,654,Mudug,Hobyo
234,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,300,Mudug,Hobyo
235,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,624,Mudug,Hobyo
236,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,312,Mudug,Hobyo
237,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,630,Mudug,Hobyo
238,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,240,Mudug,Hobyo
239,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,840,Mudug,Hobyo
240,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1620,Woqooyi Galbeed,Lughaye
241,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,ongoing,200,Sanaag,Ceel Afweyn
242,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,ongoing,2000,Sanaag,Ceel Afweyn
243,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,ongoing,2000,Sanaag,Ceerigaabo
244,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,ongoing,2000,Sanaag,Ceel Afweyn
245,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,ongoing,200,Sanaag,Ceel Afweyn
246,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,ongoing,200,Sanaag,Ceerigaabo
247,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,ongoing,200,Sanaag,Ceerigaabo
248,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,ongoing,500,Woqooyi Galbeed,Hargeysa
249,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
250,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
251,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
252,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
253,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
254,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Buuhoodle
255,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
256,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
257,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
258,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
259,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
260,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
261,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
262,WASH  ,UNDP,Unspecified,Unspecified,Unspecified,planned,,Togdheer,Burco
263,Multisector/ multipurpose,UNICEF,Unconditional,Unrestricted,e-voucher,planned,,Bay,Baidoa
264,Multisector/ multipurpose,UNICEF,Unconditional,Unrestricted,e-voucher,planned,,Bay,Diinsoor
265,Multisector/ multipurpose,UNICEF,Unconditional,Unrestricted,e-voucher,planned,,Bakool,Waajid
266,Multisector/ multipurpose,UNICEF,Unconditional,Unrestricted,e-voucher,planned,,Bakool,Xudur
267,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,438,Woqooyi Galbeed,Lughaye
268,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1278,Woqooyi Galbeed,Lughaye
269,Food security,COOPI,Unconditional,Unrestricted,Voucher,ongoing,312,Gedo,Belet Xaawo
270,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1026,Woqooyi Galbeed,Lughaye
271,Food security,COOPI,Unconditional,Restricted,Voucher,ongoing,0,Gedo,Belet Xaawo
272,Food security,COOPI,Unconditional,Unrestricted,Voucher,ongoing,168,Gedo,Doloow
